pwsid,year,month,water_shortage_stage,dwr_water_shortage_stage,shortage_greater_10_percent
CA0110005,2023,Apr,NA,NA,NA
CA0110005,2023,Mar,1,5,NA
CA0110005,2023,Feb,stage 2,5,NA
CA0110005,2023,Jan,stage 2,5,NA
CA0110005,2022,Dec,stage 2,5,NA
CA0110005,2022,Nov,stage 2,5,NA
CA0110005,2022,Oct,stage 2,5,NA
CA0110005,2022,Sep,stage 2,5,NA
CA0110005,2022,Aug,stage 2,5,NA
CA0110005,2022,Jul,stage 2,5,NA
CA0110005,2022,Jun,stage 2,5,NA
CA0110005,2022,May,stage 2,5,NA
CA0110005,2022,Apr,stage 2,5,NA
CA0110005,2022,Mar,1,5,NA
CA0110005,2022,Feb,1,NA,NA
CA0110005,2022,Jan,1,NA,NA
CA0110005,2021,Dec,1,NA,NA
CA0110005,2021,Nov,1,NA,NA
CA0110005,2021,Oct,1,NA,NA
CA0110005,2021,Sep,1,NA,NA
CA0110005,2021,Aug,1,NA,NA
CA0110005,2021,Jul,1,NA,NA
CA0110005,2021,Jun,1,NA,NA
CA0110005,2021,May,1,NA,NA
CA0110005,2021,Apr,0,NA,NA
CA0110005,2021,Mar,0,NA,NA
CA0110005,2021,Feb,0,NA,NA
CA0110005,2021,Jan,0,NA,NA
CA0110005,2020,Dec,0,NA,NA
CA0110005,2020,Nov,0,NA,NA
CA0110005,2020,Oct,0,NA,NA
CA0110005,2020,Sep,0,NA,NA
CA0110005,2020,Aug,stage 0,NA,NA
CA0110005,2020,Jul,stage 0,NA,NA
CA0110005,2020,Jun,0,NA,NA
CA0110005,2020,May,0,NA,NA
CA0110005,2020,Apr,0,NA,NA
CA0110005,2020,Mar,0,NA,NA
CA0110005,2020,Feb,0,NA,NA
CA0110005,2020,Jan,0,NA,NA
CA0110005,2019,Dec,0,NA,NA
CA0110005,2019,Nov,0,NA,NA
CA0110005,2019,Oct,0,NA,NA
CA0110005,2019,Sep,0,NA,NA
CA0110005,2019,Aug,0,NA,NA
CA0110005,2019,Jul,0,NA,NA
CA0110005,2019,Jun,0,NA,NA
CA0110005,2019,May,0,NA,NA
CA0110005,2019,Apr,0,NA,NA
CA0110005,2019,Mar,0,NA,NA
CA0110005,2019,Feb,0,NA,NA
CA0110005,2019,Jan,0,NA,NA
CA0110005,2018,Dec,0,NA,NA
CA0110005,2018,Nov,0,NA,NA
CA0110005,2018,Oct,0,NA,NA
CA0110005,2018,Sep,0,NA,NA
CA0110005,2018,Aug,0,NA,NA
CA0110005,2018,Jul,0,NA,NA
CA0110005,2018,Jun,0,NA,NA
CA0110005,2018,May,NA,NA,NA
CA0110005,2018,Apr,0,NA,NA
CA0110005,2018,Mar,0,NA,NA
CA0110005,2018,Feb,0,NA,NA
CA0110005,2018,Jan,0,NA,NA
CA0110005,2017,Dec,0,NA,NA
CA0110005,2017,Nov,0,NA,NA
CA0110005,2017,Oct,0,NA,NA
CA0110005,2017,Sep,0,NA,NA
CA0110005,2017,Aug,0,NA,NA
CA0110005,2017,Jul,0,NA,NA
CA0110005,2017,Jun,0,NA,NA
CA0110005,2017,May,0,NA,NA
CA0110005,2017,Apr,0,NA,NA
CA0110005,2017,Mar,0,NA,NA
CA0110005,2017,Feb,0,NA,NA
CA0110005,2017,Jan,0,NA,NA
CA0110005,2016,Dec,0,NA,NA
CA0110005,2016,Nov,0,NA,NA
CA0110005,2016,Oct,0,NA,NA
CA0110005,2016,Sep,0,NA,NA
CA0110005,2016,Aug,0,NA,NA
CA0110005,2016,Jul,0,NA,NA
CA0110005,2016,Jun,0,NA,NA
CA0110005,2016,May,4,NA,NA
