org_id,supplier_name,year,water_use_acre_feet,water_supplies_acre_feet,benefit_supply_augmentation_acre_feet,benefit_demand_reduction_acre_feet
13,adelanto  city of,2021,4693,64406,NA,NA
22,alameda county flood control district  zone 7,2021,45200,55900,NA,NA
23,alameda county water district,2021,44290,57422,0,0
30,alhambra  city of,2021,11178,10933,0,245
55,amador water agency,2021,7785,18820,0,0
57,american canyon  city of,2021,2636,2005,631,NA
64,anaheim  city of,2021,58905,58905,NA,NA
66,anderson  city of,2021,904,1048,NA,NA
79,antelope valley - east kern water agency,2021,39060,24080,14980,0
82,antioch  city of,2021,4611,4841,NA,NA
87,apple valley ranchos water company,2021,18441,18230,0,211
93,arcadia  city of,2021,16555,16399,0,156
94,arcata  city of,2021,626,1369,NA,NA
99,arroyo grande  city of,2021,2311,2311,NA,NA
102,arvin community service district,2021,1057,1057,0,106
107,atascadero mutual water company,2021,1793,1793,NA,NA
110,atwater  city of,2021,6390,6390,NA,NA
117,azusa light and water,2021,18314,30826,0,0
123,bakersfield  city of,2021,46734,46734,NA,NA
124,bakman water company,2021,1087,1087,0,0
129,banning  city of,2021,8865,9507,0,886
159,beaumont - cherry valley water district,2021,14054,5650,8404,0
167,bella vista water district,2021,9969,22020,0,0
170,bellflower - somerset mutual water company,2021,5875,8149,NA,NA
178,benicia  city of,2021,10199,17695,NA,NA
193,beverly hills  city of,2021,10164,10164,NA,NA
197,big bear community services district,2021,1091,1091,0,0
198,big bear lake  city of,2021,2131,3100,NA,NA
241,blythe  city of,2021,3424,6900,0,342
262,brawley  city of,2021,2186,2359,NA,NA
263,brea  city of,2021,9766,9766,0,0
264,brentwood  city of,2021,3981,6231,NA,NA
283,buena park  city of,2021,14266,14266,0,0
285,burbank  city of,2021,14248,14248,0,0
286,burlingame  city of,2021,1219,1219,0,0
351,calaveras county water district,2021,6224,86828,0,0
353,calexico  city of,2021,2460,2920,0,246
368,california american water company - los angeles division,2021,19878,19878,0,0
369,california american water company - monterey district,2021,9399,9187,0,212
372,california american water company - sacramento district,2021,10390,41559,0,0
373,california american water company - san diego district,2021,3220,3864,NA,NA
376,california american water company - ventura district,2021,15431,18559,0,0
384,california water service company antelope valley,2021,741,741,NA,NA
386,california water service company bakersfield,2021,60965,60965,NA,NA
