_id,_full_text,org_id,SUPPLIER_NAME,pwsid,PWS_NAME,COUNTY
1,"'13':1 'adelanto':2,6 'bernardino':10 'ca3610001':5 'city':3,7 'of':4,8 'san':9",13,Adelanto  City Of,CA3610001,"ADELANTO, CITY OF",SAN BERNARDINO
2,"'23':1 'alameda':2,7,11 'ca0110001':6 'county':3,8 'district':5,10 'water':4,9",23,Alameda County Water District,CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA
3,"'25':1 'alco':2,6 'ca2710001':5 'monterey':9 'service':4,8 'water':3,7",25,Alco Water Service,CA2710001,ALCO WATER SERVICE,MONTEREY
4,"'30':1 'alhambra':2,8 'angeles':10 'ca1910001':5 'city':3,6 'los':9 'of':4,7",30,Alhambra  City Of,CA1910001,CITY OF ALHAMBRA,LOS ANGELES
5,"'55':1 'agency':4 'amador':2,8 'awa':6 'ca0310002':5 'ione':7 'water':3",55,Amador Water Agency,CA0310002,"AWA, IONE",AMADOR
6,"'55':1 'agency':4 'amador':2,8 'awa':6 'ca0310003':5 'tanner':7 'water':3",55,Amador Water Agency,CA0310003,"AWA, TANNER",AMADOR
7,"'55':1 'agency':4 'amador':2,9 'awa':6 'buckhorn':7 'ca0310012':5 'plant':8 'water':3",55,Amador Water Agency,CA0310012,AWA BUCKHORN PLANT,AMADOR
8,"'3':10 '55':1 'agency':4 'amador':2,11 'awa':6 'ca0310019':5 'heights':9 'la':7 'mel':8 'water':3",55,Amador Water Agency,CA0310019,AWA LA MEL HEIGHTS #3,AMADOR
9,"'55':1 'agency':4 'amador':2,9 'awa':6 'ca0310021':5 'camanche':7 'village':8 'water':3",55,Amador Water Agency,CA0310021,AWA - CAMANCHE VILLAGE,AMADOR
10,"'57':1 'american':2,7 'ca2810005':6 'canyon':3,8 'city':4,9 'napa':11 'of':5,10",57,American Canyon  City Of,CA2810005,"AMERICAN CANYON, CITY OF",NAPA
11,"'64':1 'anaheim':2,8 'ca3010001':5 'city':3,6 'of':4,7 'orange':9",64,Anaheim  City Of,CA3010001,CITY OF ANAHEIM,ORANGE
12,"'66':1 'anderson':2,8 'ca4510001':5 'city':3,6 'of':4,7 'shasta':9",66,Anderson  City Of,CA4510001,CITY OF ANDERSON,SHASTA
13,"'82':1 'antioch':2,8 'ca0710001':5 'city':3,6 'contra':9 'costa':10 'of':4,7",82,Antioch  City Of,CA0710001,CITY OF ANTIOCH,CONTRA COSTA
14,"'87':1 'apple':2 'av':10 'bernardino':14 'ca3610003':7 'company':6 'corp':12 'liberty':8 'ranchos':4,11 'san':13 'utilities':9 'valley':3 'water':5",87,Apple Valley Ranchos Water Company,CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,SAN BERNARDINO
15,"'93':1 'angeles':10 'arcadia':2,8 'ca1910003':5 'city':3,6 'los':9 'of':4,7",93,Arcadia  City Of,CA1910003,CITY OF ARCADIA,LOS ANGELES
16,"'94':1 'arcata':2,6 'ca1210001':5 'city':3,7 'humboldt':9 'of':4,8",94,Arcata  City Of,CA1210001,"ARCATA, CITY OF",HUMBOLDT
17,'94':1 'arcata':2 'ca1210021':5 'city':3 'creek':7 'csd':8 'humboldt':9 'jacoby':6 'of':4,94,Arcata  City Of,CA1210021,JACOBY CREEK CSD,HUMBOLDT
18,"'99':1 'arroyo':2,7 'ca4010001':6 'city':4 'department':10 'grande':3,8 'luis':12 'obispo':13 'of':5 'san':11 'water':9",99,Arroyo Grande  City Of,CA4010001,"ARROYO GRANDE, WATER DEPARTMENT",SAN LUIS OBISPO
19,"'102':1 'arvin':2,7 'ca1510001':6 'community':3,8 'dist':10 'district':5 'kern':11 'service':4 'services':9",102,Arvin Community Service District,CA1510001,ARVIN COMMUNITY SERVICES DIST,KERN
20,"'107':1 'atascadero':2,7 'ca4010002':6 'co':10 'company':5 'luis':12 'mutual':3,8 'obispo':13 'san':11 'water':4,9",107,Atascadero Mutual Water Company,CA4010002,ATASCADERO MUTUAL WATER CO,SAN LUIS OBISPO
21,"'110':1 'atwater':4,8 'ca2410001':5 'city':2,6 'merced':9 'of':3,7",110,City of Atwater,CA2410001,CITY OF ATWATER,MERCED
22,"'117':1 'and':4,9 'angeles':12 'azusa':2,7 'ca1910007':6 'light':3,8 'los':11 'water':5,10",117,Azusa Light and Water,CA1910007,AZUSA LIGHT AND WATER,LOS ANGELES
23,"'123':1 'bakersfield':2,6 'ca1510031':5 'city':3,7 'kern':9 'of':4,8",123,Bakersfield  City Of,CA1510031,"BAKERSFIELD, CITY OF",KERN
24,"'124':1 'bakman':2,6 'ca1010001':5 'company':4,8 'fresno':9 'water':3,7",124,Bakman Water Company,CA1010001,BAKMAN WATER COMPANY,FRESNO
25,"'129':1 'banning':2,6 'ca3310006':5 'city':3,7 'of':4,8 'riverside':9",129,Banning  City Of,CA3310006,"BANNING, CITY OF",RIVERSIDE
26,"'155':1 'bear':2,8 'ca1510038':7 'community':4 'csd':10 'district':6 'kern':11 'services':5 'valley':3,9",155,Bear Valley Community Services District,CA1510038,BEAR VALLEY CSD,KERN
27,"'159':1 'beaumont':2,8 'ca3310002':7 'cherry':3,9 'district':6 'riverside':12 'valley':4,10 'water':5 'wd':11",159,Beaumont - Cherry Valley Water District,CA3310002,BEAUMONT CHERRY VALLEY WD,RIVERSIDE
