pwsid,population
CA0103040,50
CA0103041,459
CA0105008,524
CA0105009,50
CA0110001,344855
CA0110003,60215
CA0110005,1430200
CA0110006,159293
CA0110008,79871
CA0110009,98776
CA0110010,40
CA0110011,35672
CA0110012,342
CA0110016,1500
CA0110018,1
CA0202501,100
CA0202503,50
CA0202504,25
CA0202522,70
CA0202599,35
CA0210001,625
CA0210002,7851
CA0300010,221
CA0300011,40
CA0300016,103
CA0300019,100
CA0300024,62
CA0300037,3553
CA0300053,44
CA0300062,299
CA0300078,40
CA0310001,4786
CA0310002,7227
CA0310003,4940
CA0310004,1060
CA0310005,1141
CA0310006,574
CA0310008,781
CA0310011,838
CA0310012,8791
CA0310018,230
CA0310019,188
CA0310021,2402
CA0400001,150
CA0400003,41
CA0400004,119
CA0400007,399
CA0400008,290
CA0400012,460
CA0400013,90
CA0400014,297
CA0400016,28
CA0400019,76
CA0400020,327
CA0400021,20
CA0400023,75
CA0400026,50
CA0400027,180
CA0400030,275
CA0400040,253
CA0400042,28
CA0400051,220
CA0400060,25
CA0400062,63
CA0400063,295
CA0400064,115
CA0400065,70
CA0400067,34
CA0400073,66
CA0400078,46
CA0400079,125
CA0400090,40
CA0400091,103
CA0400123,58
CA0400149,55
CA0400151,160
CA0400155,25
CA0400162,600
CA0405001,868
CA0409181,81
CA0409183,120
CA0410001,2060
CA0410002,110512
CA0410003,1581
CA0410004,7356
CA0410005,11056
CA0410006,22727
CA0410007,6518
CA0410008,12136
CA0410009,320
CA0410011,10900
CA0410012,76
CA0410018,518
CA0500019,67
CA0500027,99
CA0500068,99
CA0500075,30
CA0500082,288
CA0500085,200
CA0500091,150
CA0500095,85
CA0510001,4774
CA0510002,6286
CA0510003,3836
CA0510004,89
CA0510005,1043
CA0510006,9861
CA0510009,4793
CA0510010,900
CA0510011,361
CA0510012,666
CA0510016,11545
CA0510017,5187
CA0510019,255
CA0600005,250
CA0600008,305
CA0600012,246
CA0600013,382
CA0605011,185
CA0610001,2778
CA0610002,6208
CA0610003,1175
CA0610004,5538
CA0706004,170
CA0706005,140
CA0706028,350
CA0706029,600
CA0707501,60
CA0707507,380
CA0707517,32
CA0707519,49
CA0707523,200
CA0707545,350
CA0707547,73
CA0707553,126
CA0707556,100
CA0707569,99
CA0707572,123
CA0707573,333
CA0707575,185
CA0707576,644
CA0707577,230
CA0707585,66
CA0707588,156
CA0707589,93
CA0707594,45
CA0707597,67
CA0707598,210
CA0707601,110
CA0707603,549
CA0707608,75
CA0707613,481
CA0707615,132
CA0707620,238
CA0707623,31
CA0710001,115074
CA0710002,23693
CA0710003,198000
CA0710004,64342
CA0710006,28518
CA0710007,43357
CA0710008,62500
CA0710009,16790
CA0710010,1
CA0710011,1
CA0800526,200
CA0800532,650
CA0800548,360
CA0800552,250
CA0800555,785
CA0800556,185
CA0800557,96
CA0800603,67
CA0800605,112
CA0800647,421
CA0800649,120
CA0800700,120
CA0800800,100
CA0800825,58
CA0810001,16711
CA0810002,2568
CA0810003,2489
CA0900102,134
CA0900111,227
CA0900112,75
CA0900210,120
CA0900300,150
CA0900304,25
CA0900308,79
CA0900309,125
CA0900404,75
CA0900410,65
CA0900422,112
CA0901217,100
CA0910001,131527
CA0910002,109414
CA0910003,9224
CA0910006,1093
CA0910007,3267
CA0910012,703
CA0910013,9409
CA0910015,1420
CA0910017,400
CA0910018,535
CA0910019,2648
CA1000004,264
CA1000005,72
CA1000018,302
CA1000019,241
CA1000021,417
CA1000023,115
CA1000039,132
CA1000040,129
CA1000041,176
CA1000042,196
CA1000053,541
CA1000054,375
CA1000056,240
CA1000057,92
CA1000063,120
CA1000069,345
CA1000075,25
CA1000078,291
CA1000104,643
CA1000105,728
CA1000111,100
CA1000180,389
CA1000181,215
CA1000182,181
CA1000184,454
CA1000185,380
CA1000186,105
CA1000187,511
CA1000189,150
CA1000190,700
CA1000192,200
CA1000193,367
CA1000194,490
CA1000196,461
CA1000198,236
CA1000199,46
CA1000200,36
CA1000201,650
CA1000204,250
CA1000206,242
CA1000208,582
CA1000213,98
CA1000217,870
CA1000221,1000
CA1000229,350
CA1000238,75
CA1000244,160
CA1000247,48
CA1000257,47
CA1000259,82
CA1000260,80
CA1000265,63
CA1000267,120
CA1000277,64
CA1000280,720
CA1000295,160
CA1000298,300
CA1000299,347
CA1000315,275
CA1000316,119
CA1000324,170
CA1000345,146
CA1000359,462
CA1000366,275
CA1000367,2225
CA1000369,100
CA1000377,183
CA1000378,350
CA1000405,36
CA1000416,450
CA1000426,400
CA1000430,59
CA1000471,395
CA1000472,40
CA1000476,750
CA1000484,876
CA1000546,440
CA1000550,344
CA1000551,182
CA1000554,81
CA1000555,34
CA1000570,565
CA1000577,41
CA1000583,39
CA1000585,25
CA1000627,62
CA1009020,98
CA1009023,85
CA1009027,140
CA1009028,182
CA1009039,27
CA1009051,52
CA1009078,222
CA1009111,126
CA1009120,105
CA1009179,76
CA1009214,72
CA1009222,80
CA1009232,82
CA1010001,17393
CA1010003,125722
CA1010004,17277
CA1010005,7619
CA1010006,7100
CA1010007,545466
CA1010013,2427
CA1010017,2722
CA1010018,16995
CA1010019,12380
CA1010020,1551
CA1010021,11404
CA1010023,9780
CA1010024,26360
CA1010025,14576
CA1010026,14000
CA1010027,25227
CA1010028,3573
CA1010029,26241
CA1010030,807
CA1010034,4060
CA1010035,1413
CA1010039,2503
CA1010042,5979
CA1010044,9306
CA1010049,1623
CA1010051,772
CA1010052,850
CA1010053,1230
CA1010055,1988
CA1010062,274
CA1010339,41000
CA1010501,2950
CA1010800,60
CA1100104,45
CA1100203,200
CA1100237,190
CA1100254,27
CA1100404,281
CA1100413,40
CA1100436,186
CA1100440,205
CA1100444,300
CA1100445,178
CA1100448,250
CA1100452,62
CA1100527,230
CA1100616,159
CA1100711,75
CA1100749,80
CA1110001,8252
CA1110002,1758
CA1110003,7240
CA1200501,219
CA1200518,333
CA1200522,42
CA1200538,330
CA1200541,300
CA1200544,116
CA1200546,50
CA1200547,85
CA1200553,456
CA1200566,85
CA1200587,75
CA1200588,60
CA1200590,33
CA1200591,70
CA1200592,112
CA1200643,67
CA1200671,399
CA1200681,165
CA1200684,50
CA1200687,60
CA1200701,396
CA1200706,130
CA1200707,492
CA1200715,250
CA1200718,75
CA1200729,636
CA1200778,50
CA1200817,40
CA1206002,64
CA1206004,320
CA1210001,20359
CA1210002,1245
CA1210004,27078
CA1210006,12133
