pwsid,year,source_type,source_name
CA0103040,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""UPPER SPRING"",""Opt3"":""A"",""Opt4"":""Spring Permanent""},{""Opt1"":""002"",""Opt2"":""CISTERN SPRING"",""Opt3"":""A"",""Opt4"":""Spring Permanent""},{""Opt1"":""003"",""Opt2"":""LOWER SPRING"",""Opt3"":""A"",""Opt4"":""Spring Permanent""}]"
CA0103040,2022,SourcesGWNotListedGrid,NA
CA0103040,2022,SourcesSWGrid,NA
CA0103040,2022,SourcesSWNotListedGrid,NA
CA0103041,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0103041,2022,SourcesGWNotListedGrid,NA
CA0103041,2022,SourcesSWGrid,"[{""Opt1"":""003"",""Opt2"":""EBMUD CONNECTION"",""Opt3"":""A"",""Opt4"":""Consecutive Connection Permanent""}]"
CA0103041,2022,SourcesSWNotListedGrid,NA
CA0105002,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0105002,2022,SourcesGWNotListedGrid,NA
CA0105002,2022,SourcesSWGrid,NA
CA0105002,2022,SourcesSWNotListedGrid,NA
CA0105008,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""SFPUC PLEASANTON WELLS"",""Opt3"":""A"",""Opt4"":""Consecutive Connection Permanent""}]"
CA0105008,2022,SourcesGWNotListedGrid,NA
CA0105008,2022,SourcesSWGrid,NA
CA0105008,2022,SourcesSWNotListedGrid,NA
CA0105009,2022,SourcesGWGrid,NA
CA0105009,2022,SourcesGWNotListedGrid,NA
CA0105009,2022,SourcesSWGrid,"[{""Opt1"":""003"",""Opt2"":""HAULED WATER"",""Opt3"":""A"",""Opt4"":""Non-Piped, Purchased Permanent""}]"
CA0105009,2022,SourcesSWNotListedGrid,NA
CA0105010,2022,SourcesGWGrid,NA
CA0105010,2022,SourcesGWNotListedGrid,NA
CA0105010,2022,SourcesSWGrid,"[{""Opt1"":""001"",""Opt2"":""LAKE DEL VALLE"",""Opt3"":""A"",""Opt4"":""Intake Permanent""}]"
CA0105010,2022,SourcesSWNotListedGrid,NA
CA0105012,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01 (HEADQUARTERS)                  "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""002"",""Opt2"":""WELL 02 (HIGH VALLEY)                   "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0105012,2022,SourcesGWNotListedGrid,NA
CA0105012,2022,SourcesSWGrid,NA
CA0105012,2022,SourcesSWNotListedGrid,NA
CA0105013,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""SPRING 02"",""Opt3"":""A"",""Opt4"":""Spring Permanent""}]"
CA0105013,2022,SourcesGWNotListedGrid,NA
CA0105013,2022,SourcesSWGrid,NA
CA0105013,2022,SourcesSWNotListedGrid,NA
CA0105016,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""MAIN WELL                               "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0105016,2022,SourcesGWNotListedGrid,NA
CA0105016,2022,SourcesSWGrid,NA
CA0105016,2022,SourcesSWNotListedGrid,NA
CA0105018,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""POI WELL                                "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0105018,2022,SourcesGWNotListedGrid,NA
CA0105018,2022,SourcesSWGrid,NA
CA0105018,2022,SourcesSWNotListedGrid,NA
CA0105019,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WATER WELL-1"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0105019,2022,SourcesGWNotListedGrid,NA
CA0105019,2022,SourcesSWGrid,NA
CA0105019,2022,SourcesSWNotListedGrid,NA
CA0105020,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""MAIN WELL                               "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""002"",""Opt2"":""AUXILIARY WELL                          "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0105020,2022,SourcesGWNotListedGrid,NA
CA0105020,2022,SourcesSWGrid,NA
CA0105020,2022,SourcesSWNotListedGrid,NA
CA0110010,2022,SourcesGWGrid,"[{""Opt1"":""005"",""Opt2"":""HOPYARD WELL 06                         "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""006"",""Opt2"":""MOCHO WELL 01"",""Opt3"":""A"",""Opt4"":""Well Emergency""},{""Opt1"":""007"",""Opt2"":""MOCHO WELL 02                           "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""011"",""Opt2"":""HOPYARD WELL 09                         "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""012"",""Opt2"":""MOCHO WELL 03                           "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""013"",""Opt2"":""MOCHO WELL 04                           "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""017"",""Opt2"":""CHAIN OF LAKES WELL NO. 5               "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""019"",""Opt2"":""STONERIDGE WELL 01                      "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""023"",""Opt2"":""CHAIN OF LAKES WELL 01                  "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""024"",""Opt2"":""CHAIN OF LAKES WELL 02"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0110010,2022,SourcesGWNotListedGrid,"[{""Opt1"":""006"",""Opt2"":""MOCHO WELL 01"",""Opt3"":""2"",""Opt4"":""Well Emergency"",""ID"":""0""}]"
CA0110010,2022,SourcesSWGrid,"[{""Opt1"":""002"",""Opt2"":""DEL VALLE WTP INTAKE"",""Opt3"":""A"",""Opt4"":""Intake Permanent""},{""Opt1"":""009"",""Opt2"":""PATTERSON PASS WTP INTAKE"",""Opt3"":""A"",""Opt4"":""Intake Permanent""},{""Opt1"":""026"",""Opt2"":""LAKE DEL VALLE RESERVOIR"",""Opt3"":""A"",""Opt4"":""Reservoir Permanent""}]"
CA0110010,2022,SourcesSWNotListedGrid,NA
CA0110012,2022,SourcesGWGrid,NA
CA0110012,2022,SourcesGWNotListedGrid,NA
CA0110012,2022,SourcesSWGrid,"[{""Opt1"":""001"",""Opt2"":""SFRWS - TREATED"",""Opt3"":""A"",""Opt4"":""Consecutive Connection Permanent""}]"
CA0110012,2022,SourcesSWNotListedGrid,NA
CA0110016,2022,SourcesGWGrid,NA
CA0110016,2022,SourcesGWNotListedGrid,NA
CA0110016,2022,SourcesSWGrid,"[{""Opt1"":""001"",""Opt2"":""EAST BAY MUD - PURCHASED - TREATED"",""Opt3"":""A"",""Opt4"":""Consecutive Connection Permanent""}]"
CA0110016,2022,SourcesSWNotListedGrid,NA
